# Auto-generated Opening Book
# Max opening moves: 10
# Format: sequence -> move (score) [depth]
# Generated entries: 768

 -> 33 (5000) [1]
33,11,23,35 -> 25 (10000) [10]
22,33,44,24 -> 52 (10000) [10]
23,33,42,27 -> 24 (10000) [10]
23,33,42,35 -> 24 (10000) [10]
23,33,42,38 -> 24 (10000) [10]
23,33,42,26 -> 24 (10000) [10]
33,22,38,35 -> 11 (10000) [10]
33,23,28 -> 11 (10000) [10]
33,13,19,24 -> 55 (10000) [10]
33,11,23,22 -> 31 (10000) [10]
33,23,28,20 -> 14 (10000) [10]
13,33,22,34 -> 45 (1) [10]
33,12,72 -> 45 (13) [10]
33,13,19,23 -> 12 (10000) [10]
33,23,28,19 -> 14 (10000) [10]
33,12,34 -> 25 (10000) [10]
33,12,72,62 -> 52 (10000) [10]
11,33,34,73 -> 21 (10000) [10]
11,33,34,72 -> 21 (10000) [10]
11,33,34,22 -> 21 (10000) [10]
33,23,28,13 -> 14 (10000) [10]
33,13,12 -> 41 (10000) [10]
13,33,22,35 -> 14 (10000) [10]
33,12,34,38 -> 14 (10000) [10]
33,13,12,27 -> 11 (10000) [10]
33,23,28,35 -> 14 (10000) [10]
33,13,12,32 -> 11 (10000) [10]
33,12,72,13 -> 52 (10000) [10]
33,12,34,13 -> 14 (10000) [10]
33,13,12,18 -> 11 (10000) [10]
33,13,12,34 -> 11 (10000) [10]
22,33,38 -> 52 (10000) [10]
33,13,12,23 -> 11 (10000) [10]
22,33,38,37 -> 25 (10000) [10]
33,23,28,34 -> 14 (10000) [10]
33,13,12,38 -> 11 (10000) [10]
33,13,12,43 -> 11 (10000) [10]
23,33,32 -> 35 (0) [10]
33,23,28,32 -> 14 (10000) [10]
23,33,32,37 -> 25 (10000) [10]
33,13,12,26 -> 11 (10000) [10]
22,33,38,27 -> 25 (10000) [10]
22,33,38,42 -> 25 (10000) [10]
33,12,34,32 -> 14 (10000) [10]
23,33,32,38 -> 52 (10000) [10]
33,12,72,31 -> 32 (10000) [10]
33,23,28,22 -> 14 (10000) [10]
22,33,38,44 -> 12 (10000) [10]
12,33,17 -> 14 (10000) [10]
12,33,17,34 -> 11 (10000) [10]
12,33,17,38 -> 11 (10000) [10]
33,12,34,27 -> 14 (10000) [10]
12,33,42,72 -> 21 (10000) [10]
12,33,17,27 -> 11 (10000) [10]
12,33,17,18 -> 11 (10000) [10]
22,33,38,32 -> 25 (10000) [10]
12,33,17,43 -> 11 (10000) [10]
23,33,32,13 -> 12 (0) [10]
12,33,17,23 -> 11 (10000) [10]
33,23,28,31 -> 14 (10000) [10]
12,33,17,24 -> 11 (10000) [10]
13,33,22,24 -> 45 (10000) [10]
22,33,38,34 -> 11 (10000) [10]
23,33,32,42 -> 25 (10000) [10]
12,33,42,43 -> 11 (10000) [10]
12,33,17,32 -> 11 (10000) [10]
33,13,12,28 -> 15 (10000) [10]
33,12,72,43 -> 51 (10000) [10]
23,33,32,43 -> 52 (10000) [10]
22,33,38,35 -> 25 (10000) [10]
33,13,12,22 -> 42 (10000) [10]
11,33,22 -> 23 (-1) [10]
33,12,34,43 -> 14 (10000) [10]
33,13,12,20 -> 15 (10000) [10]
33,13,12,19 -> 15 (10000) [10]
33,13,12,35 -> 15 (10000) [10]
33,12,34,37 -> 14 (10000) [10]
11,33,22,38 -> 14 (10000) [10]
